writer,num_articles,gender,last_url
Sam Sifton,29,male,https://cooking.nytimes.com/guides/44-how-to-make-ice-cream
Rana F. Sweis,1,female,https://www.nytimes.com/2018/12/12/neediest-cases/syrian-refugee-family-jordan.html
Stephen Castle,18,male,http://www.nytimes.com/2019/05/26/world/europe/farage-brexit-party-uk-elections.html
Palko Karasz,10,unknown,https://www.nytimes.com/2019/05/06/world/europe/meghan-markle-baby-boy.html
Kenneth P. Vogel,21,male,https://www.nytimes.com/2019/06/30/us/politics/ukraine-giuliani-foreign-work.html
Benjamin Weiser,4,male,https://www.nytimes.com/2019/06/09/nyregion/new-york-group-home-abuse.html
Julie Hirschfeld Davis,17,male,http://www.nytimes.com/2019/07/09/us/politics/nancy-pelosi-ocasio-cortez.html#commentsContainer
Carl Hulse,17,male,https://www.nytimes.com/2019/06/29/opinion/sunday/supreme-court-mitch-mcconnell-john-roberts.html
Sheryl Gay Stolberg,51,female,http://www.nytimes.com/2019/05/09/us/politics/mueller-testify.html#commentsContainer
Alexandra Stevenson,10,female,https://www.nytimes.com/2019/06/30/business/global-markets.html
David E. Sanger,30,male,http://www.nytimes.com/2019/07/07/world/middleeast/iran-nuclear-limits-breach.html#commentsContainer
Kate Conger,10,female,https://cn.nytimes.com/business/20190610/china-huawei-trump/
Elizabeth Weil,2,female,http://www.nytimes.com/2018/12/12/magazine/oakland-warehouse-fire-ghost-ship.html
Louise Melling,3,female,http://www.latimes.com/opinion/op-ed/la-oe-melling-betsy-devos-title-ix-20190204-story.html
Ross Douthat,67,male,http://www.nytimes.com/2019/07/09/opinion/marianne-williamson-meaning-democratic-primary.html
Jennifer Finney Boylan,16,female,http://www.nytimes.com/2019/06/12/opinion/negroni-2019.html
Frederick R. Lynch,2,male,http://www.nytimes.com/2018/12/12/opinion/democrats-republicans-senior-voters-aarp-.html
Frank Bruni,51,male,http://www.nytimes.com/2019/07/09/opinion/joe-biden-bush.html#commentsContainer
Marty Lederman,4,male,https://slate.com/news-and-politics/2019/04/rod-rosenstein-failure-mueller-report-comey-firing.html?via=recirc_recent
David M. Uhlmann,2,male,http://www.nytimes.com/2018/12/12/opinion/trump-clean-water-weaken-rules.html
Michelle Cottle,23,female,http://www.nytimes.com/2019/07/01/opinion/senate-democrats-mcconnell-2020.html
Jason Zinoman,14,male,http://www.nytimes.com/2019/07/04/theater/jacqueline-novak-get-on-your-knees.html
Kelundra Smith,2,unknown,http://www.nytimes.com/2018/12/11/arts/design/atlanta-black-female-artists-art-basel-miami-beach.html
Dwight Garner,9,male,http://www.nytimes.com/2019/06/10/books/review-capitalist-robert-menasse.html
Jane Perlez,17,female,https://cn.nytimes.com/asia-pacific/20190624/xi-jinping-north-korea-visit/
Emily Chan,41,female,https://cn.nytimes.com/culture/20190709/wod-matriarch/
Somini Sengupta,4,unknown,http://www.nytimes.com/2019/07/03/climate/nyt-climate-newsletter-heat.html
Alan Rappeport,37,male,http://www.nytimes.com/2019/07/03/us/politics/census-citizenship-question.html#commentsContainer
Shuhua Tang,33,unknown,https://cn.nytimes.com/culture/20190708/wod-septuagenarian/
Don Clark,3,male,https://cn.nytimes.com/technology/20190320/china-us-500-million-supercomputer/
